Electricite ,Temperature,Usure ,Pression,Humidite,Echappement,Congestion reseau
474.80,25.58,61.6,1014.5,63.53,454.39,0.61
469.45,17.34,59.08,1007.18,83.15,452.06,0.55
675.29,19.13,80.35,1012.95,71.24,453.31,0.68
410.46,12.75,71.31,1020.44,83.17,466.93,0.32
497.93,29.46,96.84,1003.88,54.1,436.37,0.11
532.78,15.59,95.66,1024.3,59.93,458.87,0.13
434.50,14.2,54,1012.18,57.07,470.67,0.18
407.54,14.05,97.82,1011.52,66.21,475.54,0.31
787.30,32.35,58.01,1014.76,60.88,432.72,0.23
574.69,21.41,92.53,1007.03,79.41,441.41,0.59
378.75,10.61,84.78,1008.8,100.13,472.9,0.72
411.98,19.13,79.32,1004.47,91.7,457.83,0.08
445.01,17.28,78.12,1018.15,66.93,462.05,0.12
512.88,24.79,65.01,1008.78,61.88,445.3,0.66
505.51,28.66,87.45,1006.08,47.74,435.94,0.58
415.72,12.91,91.32,1011.9,89.19,472.71,0.73
441.37,17.32,95.29,1015.13,61.66,464.5,0.3
598.02,18.74,75.24,1018.3,91.55,449.77,0.31
710.64,26.69,50.67,1006.82,68.29,435.04,0.74
409.56,12.28,62.41,1005.72,98.56,472.47,0.76
452.28,14.46,61.89,1007.64,67.03,459.31,0.04
708.72,30.54,95.04,999.42,64.32,434.62,0.63
671.45,27.58,69.87,1004.82,51.23,435.34,0.46
739.42,32.17,82.27,1001.43,69.86,430.64,0.47
604.69,26.23,82.13,1012.93,66.62,447.16,0.45
361.18,11.69,86.86,1019.02,55.6,471.72,0.49
402.18,14.73,76.57,1012.67,80.82,470.41,0.61
485.20,12.36,90.5,1012.8,93.59,468.37,0.12
413.70,9.52,86.58,1023.48,86.49,483.59,0.58
741.54,27.32,97.13,1012.07,86.3,432.74,0.63
739.02,23.81,64.11,1012.13,86.13,438.11,0.15
427.03,7.92,54.87,1008.55,81.68,484.75,0.23
594.08,23.58,80.68,1009.68,81.38,445.01,0.14
614.48,20.78,85.99,1018.66,80.4,445.82,0.27
689.63,19.68,86.41,1002.62,71.57,452.47,0.56
413.29,14.12,96.41,1022.46,73.28,459.76,0.4
630.24,22.97,63.55,1010.25,75.18,445.3,0.32
397.64,6.89,85.71,1020.21,74.17,486.9,0.6
570.95,19.98,65.02,1020.22,73.53,454.89,0.3
608.73,21.71,69.48,1015.74,89.76,441.19,0.3
598.02,23.02,85.32,1011.74,83.18,440.5,0.66
702.05,27.71,87.56,1009.65,58.38,435.04,0.58
378.75,10.46,73.46,1013.12,76.74,472.16,0.65
632.87,27.18,84.56,1009.89,52.83,442.16,0.31
505.51,25.56,80.62,1005.67,69.29,442.49,0.32
401.17,19.69,97.17,1001.49,60.34,456.55,0.56
776.29,31.37,93.86,997.34,62.94,431.03,0.28
420.87,14.17,99.58,1013.4,72.77,471.42,0.26
441.47,15.6,78.63,1024.88,80.37,463.34,0.32
722.96,25.3,81.52,1010.18,87.36,433.97,0.59
397.64,7.09,71.97,1020.07,73.26,487,0.09
415.51,6.07,91.28,1027.57,86.98,480.19,0.38
387.64,9.86,70.85,1018.22,85.35,479.56,0.51
407.54,14.73,63.2,1011.15,65.2,470.03,0.75
750.73,31.32,99.19,1012.92,36.48,429.57,0.78
388.85,6.14,96.95,1012.4,75.35,489.26,0.72
699.22,27.92,83.98,1013.21,44.43,435.62,0.36
594.49,25.63,81.03,1014.86,52.75,443.84,0.32
373.60,16.37,88.4,1006.37,90.11,463.76,0.56
663.67,28.31,54.5,1014.67,59.29,447.26,0.48
705.38,24.44,93.21,1005.34,80.37,430.3,0.23
419.15,11.33,79.08,1013.58,88.7,475.01,0.09
645.79,23.87,71.33,1019.02,44.28,445.11,0.03
492.68,21.14,67.56,1020.39,86.2,450.35,0.27
606.71,22.24,62.34,1015.93,62.25,446.14,0.1
711.75,23.07,55.82,1008.64,83.37,439.04,0.33
597.31,25.95,63.5,1016.42,67.03,438.46,0.02
444.00,16.44,60.33,1013.66,76.31,468.57,0.41
419.55,20.66,72.22,1014.68,79.7,461.55,0.72
399.15,15.01,99.07,1017.53,72,468.02,0.56
644.99,20.51,65.79,1020.65,75.36,447.18,0.25
533.68,24.1,54.16,1006.47,47.58,444.69,0.18
408.65,9.38,80.63,1019.29,75.77,474.1,0.63
726.59,27.49,62.99,1008.25,68.29,428.27,0.06
688.21,32.84,71.91,1003.59,43.88,425.18,0.04
452.28,20.83,56.34,1008.51,35.9,460.6,0.64
679.23,28.69,68.85,1017.71,44.6,436.21,0.78
444.70,9.35,81.82,1011.02,88.11,476.25,0.11
416.42,17.37,59.17,998.79,68.44,461.08,0.34
418.95,14.84,70.23,1017.26,63.42,460.3,0.02
696.29,27.88,70.92,1007.68,75.68,435.04,0.44
441.57,17.83,66.22,1008.64,78.72,453.86,0.77
427.03,7.64,94.14,1008.46,84.29,484.78,0.65
755.28,25.67,95,1010.24,68.87,440.48,0.06
518.13,23.1,72.93,1011.93,80.05,452.17,0.7
701.45,27.13,87.19,1013.9,51.16,434.47,0.41
715.08,26.95,77.89,1009.73,82.95,436.8,0.11
428.64,19.4,62.36,1013.19,58.63,459.76,0.7
453.69,13.5,59.62,1023.87,87.17,468.85,0.55
414.50,11.97,57.36,1026.42,70.75,468.81,0.02
595.40,18.11,77.77,1016.61,89.17,454.29,0.76
720.03,24.1,77.44,1007.96,67.56,442.8,0.56
659.23,20.29,96.94,1013.17,74.94,445.52,0.73
659.23,21.82,100,1013.86,72.81,447.43,0.11
763.56,29.45,70.78,1018.12,50.68,437.31,0.21
387.64,10.87,58.15,1020.85,69.78,477.03,0.41
399.25,17.36,71.38,1008.28,68.87,456.57,0.33
595.40,24.97,68.02,1017.19,56.24,440.03,0.78
455.41,13.72,81.87,1012.95,87.41,466.24,0.3
624.79,26.49,92.96,1012.55,74.24,440.21,0.21
416.73,8.25,98.14,1020.59,91.84,475.17,0.41
453.49,12.8,97.76,1007.58,66.6,466.95,0.15
405.21,17.08,81.27,1012.17,81.5,457.81,0.19
717.71,31.4,96.56,1008.44,74.77,433.34,0.75
451.57,8.26,59.06,1020.85,68.82,485.19,0.21
597.42,21.22,96.29,1014.68,59.71,450.96,0.51
635.39,26.1,98.07,1012.44,60.91,446.05,0.03
517.02,19.91,78.3,1008,90.23,449.23,0.58
410.97,14.56,82.74,1015.48,73.73,469.31,0.71
421.57,10.22,91.28,1022.65,83.58,479.01,0.32
685.08,29.12,90.54,1008.05,46.86,432.46,0.77
395.52,16.97,83.18,1005.7,69.13,458.59,0.63
497.93,26.19,78.79,1003.69,65.88,440.13,0.74
667.11,23.65,60.52,1019.6,78.21,442.9,0.15
716.49,29.53,63.63,1007.22,70.68,432.43,0.62
572.17,19.69,82.65,1020.84,72.14,455.07,0.7
706.80,33.71,55.71,1013.09,42.62,431.99,0.76
758.31,32.14,71.62,1005.35,49.92,439.22,0.14
779.42,29.28,80.45,1009.4,76.3,433.14,0.58
381.78,7.01,95.55,1021.47,62.84,483.95,0.46
689.22,30.47,89.65,1009.55,64.98,427.94,0.63
484.09,29.13,84.39,1002.5,49.1,435.61,0.14
402.49,11.86,62.53,1013,66.92,478.29,0.65
528.84,26.16,51.44,1013.62,58.52,453.08,0.11
395.21,10.56,75.4,1010.19,87.12,463.14,0.63
411.27,8.58,99.41,1022.04,87.55,480.96,0.42
413.29,14.26,51.83,1022.07,73.96,460.38,0.7
744.07,23.48,74.59,1007.07,88.49,437.19,0.47
463.29,5.54,54.68,1008.69,95.91,478.02,0.77
444.30,16.98,78.37,1021.65,81.17,456.07,0.07
679.23,30.08,53.39,1017.6,53.09,434.01,0.38
400.06,10.63,66.71,1020,72.42,476.99,0.65
756.19,30.36,93.86,1008.96,61.87,435.31,0.02
711.04,29.56,84.75,1006.49,82.95,432.85,0.06
570.95,19.94,88.59,1020.48,76.43,453.8,0.66
656.10,27.55,50.37,999.73,57.34,431.33,0.03
805.37,31.44,65.76,1006.95,56.99,431.69,0.57
750.73,25.35,81.28,1015.29,77.84,435.66,0.73
388.24,4.11,98.74,1015.9,81.79,488.05,0.28
707.40,30.59,99.25,1010.28,50.56,429.13,0.45
492.78,14.04,87.41,1017.62,75.25,464.09,0.1
453.49,15.47,58.67,1021.59,81.74,465.61,0.59
411.78,8.67,92.15,1011.81,89.4,479.23,0.22
378.75,10.53,57.41,1008.55,99.91,472.32,0.3
417.94,7.99,58.09,1021.95,78.77,487.57,0.67
454.60,22.29,88.06,1012.4,51.58,449.08,0.56
366.63,9.06,90.19,1015.14,58.71,477.38,0.26
375.11,10.05,65.29,1012.64,75.97,474.16,0.44
497.02,20.07,71.68,1012.34,56.8,454.25,0.41
727.00,30.65,78.95,1004.92,63.39,429.85,0.75
411.37,14.38,71.56,1017.48,90.64,462.98,0.67
726.90,27.76,56.11,1008.53,86.97,434.04,0.77
409.66,16.7,73.24,1019.04,50.9,470.84,0.33
359.26,5.35,51.56,1027.12,80.81,488.65,0.62
417.94,11.57,95.03,1021.71,61.49,473.94,0.72
737.60,30.57,88.29,1013.75,73.68,437.42,0.68
410.67,16,84.35,1016.12,89.23,457.12,0.46
414.50,15.6,91.5,1025.48,64.43,457.49,0.45
484.09,22.12,53.93,1005.5,84.47,443.41,0.4
590.45,21.33,56.11,1016.17,79.73,445.27,0.08
605.19,23.65,50.7,1010.19,89.53,436.74,0.61
397.64,6.8,85.94,1020.24,73.29,487.33,0.06
720.33,31.35,63.35,1005.99,62.35,434.43,0.76
688.01,23.99,55.98,1012.92,70.68,437.14,0.63
547.42,26.53,85.81,1012.9,66.73,439.96,0.55
633.27,31.59,87.42,1009.3,50.16,442.58,0.05
706.39,24.06,52.41,1005.47,60.46,436.88,0.3
453.39,27.28,88.15,1009.02,49.9,441.94,0.32
726.90,23.69,84.01,1009.62,93.03,438.62,0.6
394.91,11.46,84.87,1010.17,100.15,470.55,0.35
497.93,22.61,77.21,1003.51,83.02,441.76,0.78
455.41,21.84,92.48,1013.94,46.11,450.88,0.19
402.18,9.2,71.52,1013.19,91.25,482.89,0.59
497.43,17.75,59.19,1020.86,63.67,454.41,0.5
440.87,7.53,54.33,1018.58,64.85,479.15,0.12
455.41,16.76,50.3,1014.28,57.71,458.67,0.26
657.71,22.69,66.34,1016.35,72.02,446.91,0.03
448.95,11.91,94.43,1021.39,84.49,466.52,0.69
620.85,26.63,85.21,1008.18,69,444.16,0.69
402.49,6.72,67.2,1011.84,84.66,489.09,0.71
444.30,9.44,84.71,1020.31,98.06,475.01,0.24
454.50,18.32,92.81,1022.67,46.38,471.43,0.74
627.21,18.31,70.25,1020.38,79.02,455.24,0.51
450.16,26.57,98.71,1007.76,50.39,445.49,0.73
697.41,34.33,76.03,1000.89,37.9,430.56,0.14
412.08,14.85,97.62,1025.38,53.29,471.78,0.12
654.88,29.33,56.88,1010.76,53.32,443.15,0.19
408.65,8.77,95.16,1019.68,77.84,475,0.42
392.99,11.35,85.31,1017.93,83.45,474.22,0.19
444.91,21.38,75.03,1005.69,81.66,445.71,0.53
406.73,4.88,97.01,1012.66,74.51,491.29,0.48
649.13,26.66,72.35,1012.83,58.88,437.87,0.06
455.41,13.04,51.12,1013,87.68,467.44,0.11
720.33,29.47,64.99,1008.07,67,437.14,0.71
574.69,18.91,61.68,1006.98,84.07,448.24,0.11
444.91,24.86,82.38,1005.69,66.65,447.2,0.39
418.14,9.42,82.4,1029.6,87.43,478.12,0.59
427.63,12.75,93.48,1018.17,94.67,465.44,0.43
495.10,21.32,72.06,1008.81,85.81,445.65,0.14
683.67,24.26,97.76,1008.48,66.74,437.4,0.57
442.08,20.01,51.93,1012.13,65.53,455.66,0.78
596.30,21.35,76.3,1012.28,95.71,445.83,0.73
637.21,17.43,60.02,1019.87,92.77,449.36,0.04
658.32,27.86,96.69,1012.87,55.53,436.26,0.76
603.98,20.74,82.24,1015.46,76.39,452.99,0.67
683.67,27.73,94.37,1007.47,59.42,431.72,0.21
418.54,9.53,83.03,1018.01,80.09,481.83,0.24
805.37,28.5,66.87,1006.75,87.09,433.08,0.8
528.23,21.39,65.21,1009.2,79.77,446.87,0.57
466.42,14.54,63.09,1015.29,94.48,463.03,0.49
659.93,28.01,71.21,1014.68,46.86,440.77,0.73
716.49,30.51,98.69,1007.64,59.42,430.91,0.24
614.48,21.63,76.06,1018.16,77.53,445.93,0.46
719.63,26.39,61.71,999.8,89.12,430.34,0.74
416.73,13.84,57.31,1020.92,74.74,462.46,0.75
439.55,17.27,62.71,1021.37,76.73,460.08,0.31
586.31,21.89,95.79,1011.31,85.71,441.76,0.6
652.76,24.02,99.58,1020.49,55.17,449.66,0.17
760.83,31.92,71.87,1001.81,61.97,436.38,0.38
503.28,12.97,50.07,1008.69,91.49,452.07,0.45
444.00,15.89,69.26,1014.02,75.24,467.35,0.44
416.73,9.25,68.45,1020.51,91.21,473.87,0.18
439.35,15.99,73.64,1021.34,73.22,460.7,0.76
400.57,9.06,96.02,1019.64,76.98,479.53,0.18
445.01,14.48,54.43,1018.73,75.88,467.46,0.68
598.02,27.15,54.68,1013.49,51.71,440.27,0.7
647.92,21.68,58.91,1021.09,70.88,454.32,0.08
620.85,28.16,88.91,1009.19,62.53,442.48,0.4
750.83,34.33,67.55,1001.74,42.75,435.76,0.26
646.91,31.98,66.02,1010.49,58.01,439.56,0.6
439.96,15.21,56.16,1012.92,56.61,467,0.28
427.63,13.56,87.68,1017.95,93.83,462.6,0.21
424.40,10.32,88.23,998.27,99.12,472.16,0.08
590.75,22.46,52.22,1011.5,70.54,448.46,0.66
687.61,29.3,89.85,1011.23,56.23,434.11,0.53
450.16,22.3,73.99,1008.48,67.58,449.74,0.28
710.23,21.91,84.89,1009.17,90.57,439.29,0.35
442.38,10.95,60.09,1022.61,63.46,473.2,0.09
688.01,24.96,86.99,1011.27,70.22,437.62,0.1
397.23,5.91,74.86,1010.18,95.53,491.49,0.13
404.71,5.25,74.72,1019.48,67.7,495.23,0.36
615.39,21.47,99.16,1006.46,87.83,442.75,0.08
396.93,10.16,58.28,1019.71,81.21,480.74,0.29
445.01,17.29,94.9,1016.24,77.56,461.38,0.28
406.22,17.46,62.36,1006.7,91.96,461.74,0.8
408.34,11.56,54.01,1025.48,74.75,489.54,0.64
414.20,7.51,87.94,1024.61,97.41,477.61,0.59
389.66,17.08,96.72,1015.41,73.42,461.49,0.51
424.40,9.27,70.31,1004.29,95.05,474.93,0.79
494.09,21.3,66.61,1010.92,65.09,447.89,0.2
412.18,8.51,89.32,1015.54,83.16,481.02,0.23
419.15,12.77,66.6,1014.13,86.8,470.68,0.14
661.35,25.04,65.88,1017.66,57.08,440.92,0.08
415.11,21.83,98.21,1001.91,41.79,453.38,0.08
422.08,15.92,89.53,1006.24,79.42,458.68,0.51
698.31,29.97,81.58,1007.92,66.74,433.82,0.77
422.38,9.8,89.95,1032.98,67.55,473.72,0.22
389.46,9.01,73.54,1016.67,63.61,482.37,0.31
625.19,24.71,63.86,1013.78,85.82,443.39,0.69
644.18,20.57,60.91,1016.76,74,449.93,0.23
661.35,24.32,53.24,1017.55,59.02,443.31,0.71
508.23,21.41,88.24,1008.61,84.47,443.63,0.35
597.42,27.09,67.36,1013.02,55.18,438.9,0.76
479.25,23.49,86.06,1008.46,66.18,446.72,0.52
639.43,20,69.15,1017.06,63.1,449.68,0.31
419.96,13.4,95.73,1020.5,71.17,461.54,0.07
606.81,23.6,81,1017.51,63.02,451.97,0.1
707.20,21.03,93.37,1010.21,95.69,444.53,0.49
463.29,5.15,67.31,1008.02,98.36,479.61,0.32
594.49,17.16,98.88,1016.4,86.39,453.76,0.1
726.59,24.59,89.88,1006.89,88.52,430.28,0.09
665.99,23.05,83.77,1010.99,69.73,442.39,0.56
378.75,10.48,75.58,1009.81,95.26,474.57,0.43
434.50,15.72,53.02,1011.98,45.74,466.33,0.1
710.23,25.56,64.83,1009.07,90.63,433.72,0.05
415.72,13.78,96.62,1021.65,75.77,460.44,0.02
697.30,29.35,98.19,1008.55,61.78,445.04,0.21
805.37,32.09,93.29,1006.92,61.5,432.85,0.69
780.73,25.16,65.83,1000.73,86.4,439.37,0.67
404.00,14.63,78.73,1018.03,63.4,457.09,0.8
407.54,5.7,75.78,1012.18,91.57,488.8,0.7
756.49,28.15,70.86,1003.67,76.32,433.63,0.76
577.62,22.3,85.45,1006.4,75.28,445.1,0.43
737.20,27.71,59.03,1007.18,72.68,433.01,0.48
454.60,23.09,90.54,1012.25,43.95,453.45,0.46
426.02,19.66,55.71,1001.51,95.75,454.46,0.3
532.78,10.02,63.35,1021.93,73.68,473.09,0.79
693.57,23.97,55.97,1006.63,76.83,441.53,0.67
392.99,7.82,56.1,1015.58,90.11,479.15,0.39
700.94,30.21,83.52,1003.69,62.89,438.18,0.23
630.64,24.12,93.06,1013.83,88.02,443.3,0.74
637.21,21.05,74.99,1016.49,91.23,447.45,0.42
406.42,13.93,58.2,1017.88,88.35,469.25,0.43
414.71,9.68,71.02,1022.75,87.44,476.67,0.66
498.84,17.48,85.33,1021.51,84.53,460.01,0.64
672.26,28.76,76.81,1006.07,62.41,432.3,0.11
536.92,19.21,67.14,1013.18,81.64,454.01,0.78
737.20,25.63,87.31,1008.2,86.8,436.64,0.48
667.11,20.36,83.19,1015.86,87.19,450.23,0.17
411.37,15.34,74.7,1018.03,86.19,458.55,0.6
411.27,9.55,79.34,1023.12,68.06,481.08,0.66
415.72,13.45,85.87,1022.04,82.96,460.57,0.05
399.76,10.8,80.79,1011.99,87.54,478.24,0.41
737.20,28.15,93.97,1007.62,70.03,431.83,0.74
409.66,15.42,50.27,1021.23,59.37,469.33,0.23
750.73,33.6,94.86,1012.31,35.66,428.62,0.69
788.31,30.92,73.08,1011,59.62,434.12,0.24
577.42,25.24,76.29,1010.44,74,442.77,0.45
416.12,13.6,55.77,1015.92,85.05,467.42,0.39
464.60,18.68,97.57,1002.2,97.17,447.8,0.07
705.38,22.43,95.63,1006.94,75.54,436.19,0.62
716.49,23.37,50.67,1008.01,81.28,441.56,0.19
439.96,19.62,85.93,1012.89,37.6,463.33,0.03
397.84,14.35,54.45,1012.92,82.41,470.53,0.34
645.49,24.88,84.29,1009.41,77.75,447.28,0.74
641.96,20.67,90.01,1013.27,79.39,450.7,0.16
742.96,34.11,73.83,1006.77,45.92,432.78,0.62
453.39,19.15,84.96,1009.6,74.52,451.09,0.67
711.75,24.96,78.45,1007.73,76.48,438.23,0.44
426.02,18.86,51.52,1001.16,98.58,457.07,0.11
609.74,25.1,52.97,1005.83,72.53,438.44,0.41
438.44,10.15,55.3,1018.4,82.07,473.43,0.23
658.32,26.53,92.11,1012.77,64.37,437.39,0.26
466.72,26.05,72.07,1011.31,55.25,450.86,0.64
750.73,25.45,94.88,1015.53,80.95,435.12,0.3
